[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[16:47:09] GPU2: util=4% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:48:10] GPU2: util=20% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:49:10] GPU2: util=14% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:50:11] GPU2: util=23% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:51:11] GPU2: util=21% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:52:11] GPU2: util=17% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:53:12] GPU2: util=17% mem=39881MiB free=5504MiB | nb84=3788MiB
[16:54:12] GPU2: util=21% mem=39881MiB free=5504MiB | nb84=3788MiB
[16:55:13] GPU2: util=20% mem=39881MiB free=5504MiB | nb84=3788MiB
[16:56:14] GPU2: util=22% mem=39881MiB free=5504MiB | nb84=3788MiB
[16:57:15] GPU2: util=48% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:57:15] 🟢 Training aktif (util=48%)
[16:58:15] GPU2: util=23% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:59:15] GPU2: util=18% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:00:16] GPU2: util=19% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:01:17] GPU2: util=31% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:02:17] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:02:17] 🟢 Training aktif (util=100%)
[17:03:22] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:03:22] 🟢 Training aktif (util=100%)
[17:04:24] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:04:24] 🟢 Training aktif (util=100%)
[17:05:24] GPU2: util=100% mem=39865MiB free=5520MiB | nb84=3788MiB
[17:05:24] 🟢 Training aktif (util=100%)
[17:06:25] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[17:06:25] 🟢 Training aktif (util=100%)
[17:07:27] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:07:27] 🟢 Training aktif (util=100%)
[17:08:28] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:08:28] 🟢 Training aktif (util=100%)
[17:09:29] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:09:29] 🟢 Training aktif (util=100%)
[17:10:30] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:10:30] 🟢 Training aktif (util=100%)
[17:11:31] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:11:31] 🟢 Training aktif (util=100%)
[17:12:32] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:12:32] 🟢 Training aktif (util=100%)
[17:13:34] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:13:34] 🟢 Training aktif (util=100%)
[17:14:35] GPU2: util=100% mem=39895MiB free=5490MiB | nb84=3788MiB
[17:14:35] 🟢 Training aktif (util=100%)
[17:15:35] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:15:35] 🟢 Training aktif (util=100%)
[17:16:37] GPU2: util=100% mem=39913MiB free=5472MiB | nb84=3788MiB
[17:16:37] 🟢 Training aktif (util=100%)
